setting,model,group_view,accuracy,dp_diff,dp_ratio,selection_rate_gap,error_rate_gap,TPR_gap,FPR_gap
CTGANTrain->RealTest,LogReg,gender,0.8882283580622974,0.00013813719458738742,0.697672935926044,0.00013813719458738742,0.0021509143898669203,0.00014919077672936334,0.00017294153326470122
CTGANTrain->RealTest,RandomForest,gender,0.8854279257148472,0.003923082732012686,0.4037459119942384,0.003923082732012686,0.0041974636337036575,0.00752671374117353,0.0034633325572694783
GaussianCopulaTrain->RealTest,LogReg,gender,0.8884248796305394,0.0,,0.0,0.0019830251663033316,0.0,0.0
GaussianCopulaTrain->RealTest,RandomForest,gender,0.8882774884543578,0.00012113464800208474,0.43000091382619027,0.00012113464800208474,0.0018618905183012124,0.0,0.0001359546776084454
RealTrain->RealTest,LogReg,gender,0.8884248796305394,0.0,,0.0,0.0019830251663033316,0.0,0.0
RealTrain->RealTest,RandomForest,gender,0.8874422717893289,0.0002954034678572682,0.8594521674451266,0.0002954034678572682,0.002031906273961992,0.0010279322627007436,0.00019743133360111795
TVAETrain->RealTest,LogReg,gender,0.8882283580622974,0.0006673038300600615,0.21500045691309513,0.0006673038300600615,0.0019532731373270718,0.0028846153846153848,0.0003913693958333046
TVAETrain->RealTest,RandomForest,gender,0.8729979365235334,0.0059611646882295685,0.7711121923393117,0.0059611646882295685,0.005576728467864833,0.009997344247953507,0.00542514883796082
CTGANTrain->RealTest,LogReg,intersection,0.8882283580622974,0.0006330716637123322,0.0,0.0006330716637123322,0.138061938061938,0.0012690355329949238,0.0005720823798627002
CTGANTrain->RealTest,RandomForest,intersection,0.8854279257148472,0.008989617624715118,0.0,0.008989617624715118,0.138061938061938,0.01545253863134658,0.008152173913043478
GaussianCopulaTrain->RealTest,LogReg,intersection,0.8884248796305394,0.0,,0.0,0.138061938061938,0.0,0.0
GaussianCopulaTrain->RealTest,RandomForest,intersection,0.8882774884543578,0.00041203131437989287,0.0,0.00041203131437989287,0.138061938061938,0.0,0.0004633920296570899
RealTrain->RealTest,LogReg,intersection,0.8884248796305394,0.0,,0.0,0.138061938061938,0.0,0.0
RealTrain->RealTest,RandomForest,intersection,0.8874422717893289,0.00288421920065925,0.0,0.00288421920065925,0.138061938061938,0.005518763796909493,0.0027803521779425394
TVAETrain->RealTest,LogReg,intersection,0.8882283580622974,0.001965923984272608,0.0,0.001965923984272608,0.138061938061938,0.005649717514124294,0.0014825796886582653
TVAETrain->RealTest,RandomForest,intersection,0.8729979365235334,0.030799475753604193,0.0,0.030799475753604193,0.138061938061938,0.04194260485651214,0.032
CTGANTrain->RealTest,LogReg,race,0.8882283580622974,0.0005283666864804174,0.0,0.0005283666864804174,0.019916166546159464,0.0011806375442739079,0.0004461961775860787
CTGANTrain->RealTest,RandomForest,race,0.8854279257148472,0.006142262730334852,0.0,0.006142262730334852,0.02286881472269875,0.010035419126328217,0.0056518182494236634
GaussianCopulaTrain->RealTest,LogReg,race,0.8884248796305394,0.0,,0.0,0.019916166546159464,0.0,0.0
GaussianCopulaTrain->RealTest,RandomForest,race,0.8882774884543578,0.00025297242600556537,0.0,0.00025297242600556537,0.02016913897216499,0.0,0.00028514399771884804
RealTrain->RealTest,LogReg,race,0.8884248796305394,0.0,,0.0,0.019916166546159464,0.0,0.0
RealTrain->RealTest,RandomForest,race,0.8874422717893289,0.0025297242600556538,0.0,0.0025297242600556538,0.02193994595420401,0.005312868949232586,0.0025662959794696323
TVAETrain->RealTest,LogReg,race,0.8882283580622974,0.0012648621300278269,0.0,0.0012648621300278269,0.020675083824176155,0.002242152466367713,0.0011405759908753922
TVAETrain->RealTest,RandomForest,race,0.8729979365235334,0.027826966860612194,0.0,0.027826966860612194,0.03398368914195704,0.04035874439461883,0.026415094339622643
